team,number,penalty,base,time,speed,checkpoint,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
data,name,,,,,,,Nashville to Paducah,Paducah Loop,Paducah to Edwardsville,Edwardsville Loop,Edwardsville to Jefferson City,Jefferson City Loop,Jefferson City to Independence,Independence to St. Joseph,St. Joseph Loop,St. Joseph to Beatrice,Beatrice Loop,Beatrice to Kearney,Kearney Loop,Kearney to Gering,Gering Loop,Gering to Casper
data,type,,,,,,,base,loop,base,loop,base,loop,base,base,loop,base,loop,base,loop,base,loop,base
data,miles,,,,,,,159.7,48.8,217.1,29.2,165.6,28.2,156.6,74.8,32.8,138.2,25.4,178.4,22,273.6,26,198.3
Purdue,1,2,-,17:25:59,21.61,❌ |  |  | ,374.8,159.7,0,217.1,0,0,0,,0,0,,0,,0,,0,
Michigan,2,7,-,15:30:57,33.08,✅ |  |  | ,506.2,159.7,1,217.1,3,0,0,,0,0,,0,,0,,0,
Florida,5,6,-,16:35:47,22.7,✅ |  |  | ,370.8,159.7,0,217.1,0,0,0,,0,0,,0,,0,,0,
Texas A&M,12,6,No,16:06:00,12.79,✅ |  |  | ,199.9,159.7,0,46.2,0,0,0,,0,0,,0,,0,,0,
Illinois State,17,6,-,15:33:09,24.23,✅ |  |  | ,370.8,159.7,0,217.1,0,0,0,,0,0,,0,,0,,0,
Illinois,22,5,-,16:04:04,26.49,✅ |  |  | ,420.6,159.7,1,217.1,0,0,0,,0,0,,0,,0,,0,
British Columbia,26,0,No,6:38:00,21.42,❌ |  |  | ,142.1,142.1,0,0,0,0,0,,0,0,,0,,0,,0,
ETS,92,3,-,15:55:59,30.38,✅ |  |  | ,481,159.7,1,217.1,2,0,0,,0,0,,0,,0,,0,
Western Michigan,786,4,No,6:37:00,22.79,❌ |  |  | ,146.8,150.8,0,0,0,0,0,,0,0,,0,,0,,0,
data,modified,,21 Jul 2024 - 11:17PM Central Daylight Time,,,,,,,,,,,,,,,,,,,,
